OTU,Taxonomy
Otu0164,k__Bacteria(100);p__Elusimicrobia(84);c__Elusimicrobia(84);o__Elusimicrobiales(84);f__(84);g__(84);s__(84);
Otu0165,k__Bacteria(100);p__OP3(74);c__BD4-9(74);o__(74);f__(74);g__(74);s__(74);
Otu0166,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);bacV(100);unclassified;unclassified;unclassified;
Otu0167,k__Bacteria(100);p__OP3(90);c__BD4-9(90);o__(90);f__(90);g__(90);s__(90);
Otu0168,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0169,k__Bacteria(100);p__Proteobacteria(96);c__Gammaproteobacteria(89);unclassified;unclassified;unclassified;unclassified;
Otu0170,k__Bacteria(100);p__Verrucomicrobia(67);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0171,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0172,k__Bacteria(100);p__Verrucomicrobia(92);c__[Methylacidiphilae](89);o__S-BQ2-57(89);f__(89);g__(89);s__(89);
Otu0173,k__Bacteria(100);p__Proteobacteria(92);c__Gammaproteobacteria(85);o__Legionellales(62);f__Coxiellaceae(62);g__(62);s__(62);
Otu0174,k__Bacteria(100);p__Proteobacteria(99);c__Deltaproteobacteria(95);o__Bdellovibrionales(94);f__Bdellovibrionaceae(94);g__Bdellovibrio(94);s__(94);
Otu0175,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0176,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);alfI(99);alfI-B(99);alfI-B1(99);unclassified;
Otu0177,k__Bacteria(100);p__Firmicutes(90);c__Clostridia(72);o__Clostridiales(62);f__Veillonellaceae(62);unclassified;unclassified;
Otu0178,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(83);o__Flavobacteriales(83);unclassified;unclassified;unclassified;
Otu0179,k__Bacteria(100);p__Proteobacteria(95);c__Alphaproteobacteria(86);unclassified;unclassified;unclassified;unclassified;
Otu0180,k__Bacteria(100);p__Chlorobi(100);c__Chlorobia(100);o__Chlorobiales(100);f__Chlorobiaceae(100);g__(100);s__(100);
Otu0181,k__Bacteria(100);p__Verrucomicrobia(99);c__[Spartobacteria](93);o__[Chthoniobacterales](93);f__[Chthoniobacteraceae](93);g__heteroC45_4W(68);s__(68);
Otu0182,k__Bacteria(100);p__Bacteroidetes(94);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0183,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);unclassified;unclassified;unclassified;
Otu0184,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);acI(100);acI-B(97);acI-B3(97);unclassified;
Otu0185,k__Bacteria(100);p__OD1(88);c__ABY1(88);o__(88);f__(88);g__(88);s__(88);
Otu0186,k__Bacteria(100);p__OP3(87);c__(86);o__(86);f__(86);g__(86);s__(86);
Otu0187,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0188,k__Bacteria(100);p__Verrucomicrobia(61);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0189,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);acI(100);acI-B(100);acI-B2(100);unclassified;
Otu0190,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);betIII(100);betIII-A(100);betIII-A1(100);unclassified;
Otu0191,k__Bacteria(100);p__Bacteroidetes(98);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0192,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0193,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0194,k__Bacteria(100);p__Bacteroidetes(96);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0195,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0196,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0197,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);alfI(98);alfI-B(98);alfI-B2(98);unclassified;
Otu0198,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);f__auto67_4W(100);g__(100);s__(100);
Otu0199,k__Bacteria(100);p__Cyanobacteria(82);c__4C0d-2(76);unclassified;unclassified;unclassified;unclassified;
Otu0200,k__Bacteria(100);p__Proteobacteria(86);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0201,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);f__auto67_4W(100);g__(100);s__(100);
Otu0202,k__Bacteria(100);p__Spirochaetes(66);c__Spirochaetes(66);o__Spirochaetales(66);f__Spirochaetaceae(66);g__HAW-RM37(65);s__(65);
Otu0203,k__Bacteria(100);p__Proteobacteria(99);c__Deltaproteobacteria(98);o__Syntrophobacterales(95);f__Syntrophorhabdaceae(95);g__(95);s__(95);
Otu0204,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0205,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(99);o__Syntrophobacterales(90);f__Syntrophaceae(90);g__Syntrophus(67);s__(67);
